"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"175";"PV20  ";"2020JJ00";"  585866"
"176";"PV20  ";"2021JJ00";"  586937"
"177";"PV20  ";"2022JJ00";"  590170"
"178";"PV20  ";"2023JJ00";"  596075"
"179";"PV20  ";"2024JJ00";"  601347"
"205";"PV21  ";"2020JJ00";"  649957"
"206";"PV21  ";"2021JJ00";"  651435"
"207";"PV21  ";"2022JJ00";"  654019"
"208";"PV21  ";"2023JJ00";"  659551"
"209";"PV21  ";"2024JJ00";"  661904"
"235";"PV22  ";"2020JJ00";"  493682"
"236";"PV22  ";"2021JJ00";"  494771"
"237";"PV22  ";"2022JJ00";"  497743"
"238";"PV22  ";"2023JJ00";"  502051"
"239";"PV22  ";"2024JJ00";"  504129"
"265";"PV23  ";"2020JJ00";" 1162406"
"266";"PV23  ";"2021JJ00";" 1166533"
"267";"PV23  ";"2022JJ00";" 1171910"
"268";"PV23  ";"2023JJ00";" 1184333"
"269";"PV23  ";"2024JJ00";" 1189033"
"295";"PV24  ";"2020JJ00";"  423021"
"296";"PV24  ";"2021JJ00";"  428226"
"297";"PV24  ";"2022JJ00";"  434771"
"298";"PV24  ";"2023JJ00";"  444701"
"299";"PV24  ";"2024JJ00";"  450826"
"325";"PV25  ";"2020JJ00";" 2085952"
"326";"PV25  ";"2021JJ00";" 2096603"
"327";"PV25  ";"2022JJ00";" 2110472"
"328";"PV25  ";"2023JJ00";" 2133708"
"329";"PV25  ";"2024JJ00";" 2149071"
"355";"PV26  ";"2020JJ00";" 1354834"
"356";"PV26  ";"2021JJ00";" 1361153"
"357";"PV26  ";"2022JJ00";" 1369873"
"358";"PV26  ";"2023JJ00";" 1387643"
"359";"PV26  ";"2024JJ00";" 1400057"
"385";"PV27  ";"2020JJ00";" 2879527"
"386";"PV27  ";"2021JJ00";" 2888486"
"387";"PV27  ";"2022JJ00";" 2909827"
"388";"PV27  ";"2023JJ00";" 2952622"
"389";"PV27  ";"2024JJ00";" 2976487"
"415";"PV28  ";"2020JJ00";" 3708696"
"416";"PV28  ";"2021JJ00";" 3726050"
"417";"PV28  ";"2022JJ00";" 3753944"
"418";"PV28  ";"2023JJ00";" 3804906"
"419";"PV28  ";"2024JJ00";" 3840460"
"445";"PV29  ";"2020JJ00";"  383488"
"446";"PV29  ";"2021JJ00";"  385400"
"447";"PV29  ";"2022JJ00";"  386767"
"448";"PV29  ";"2023JJ00";"  391124"
"449";"PV29  ";"2024JJ00";"  391634"
"475";"PV30  ";"2020JJ00";" 2562955"
"476";"PV30  ";"2021JJ00";" 2573949"
"477";"PV30  ";"2022JJ00";" 2592874"
"478";"PV30  ";"2023JJ00";" 2626210"
"479";"PV30  ";"2024JJ00";" 2644739"
"505";"PV31  ";"2020JJ00";" 1117201"
"506";"PV31  ";"2021JJ00";" 1115872"
"507";"PV31  ";"2022JJ00";" 1118302"
"508";"PV31  ";"2023JJ00";" 1128367"
"509";"PV31  ";"2024JJ00";" 1133255"
"1735";"GM1680";"2020JJ00";"   25445"
"1736";"GM1680";"2021JJ00";"   25399"
"1737";"GM1680";"2022JJ00";"   25579"
"1738";"GM1680";"2023JJ00";"   25724"
"1739";"GM1680";"2024JJ00";"   25845"
"1765";"GM0738";"2020JJ00";""
"1766";"GM0738";"2021JJ00";""
"1767";"GM0738";"2022JJ00";""
"1768";"GM0738";"2023JJ00";""
"1769";"GM0738";"2024JJ00";""
"1795";"GM0358";"2020JJ00";"   31859"
"1796";"GM0358";"2021JJ00";"   31991"
"1797";"GM0358";"2022JJ00";"   32452"
"1798";"GM0358";"2023JJ00";"   33063"
"1799";"GM0358";"2024JJ00";"   33279"
"1825";"GM0197";"2020JJ00";"   27121"
"1826";"GM0197";"2021JJ00";"   27120"
"1827";"GM0197";"2022JJ00";"   27100"
"1828";"GM0197";"2023JJ00";"   27244"
"1829";"GM0197";"2024JJ00";"   27308"
"1855";"GM0480";"2020JJ00";""
"1856";"GM0480";"2021JJ00";""
"1857";"GM0480";"2022JJ00";""
"1858";"GM0480";"2023JJ00";""
"1859";"GM0480";"2024JJ00";""
"1885";"GM0739";"2020JJ00";""
"1886";"GM0739";"2021JJ00";""
"1887";"GM0739";"2022JJ00";""
"1888";"GM0739";"2023JJ00";""
"1889";"GM0739";"2024JJ00";""
"1915";"GM0305";"2020JJ00";""
"1916";"GM0305";"2021JJ00";""
"1917";"GM0305";"2022JJ00";""
"1918";"GM0305";"2023JJ00";""
"1919";"GM0305";"2024JJ00";""
"1945";"GM0059";"2020JJ00";"   27843"
"1946";"GM0059";"2021JJ00";"   27900"
"1947";"GM0059";"2022JJ00";"   27954"
"1948";"GM0059";"2023JJ00";"   28149"
"1949";"GM0059";"2024JJ00";"   28226"
"1975";"GM0360";"2020JJ00";""
"1976";"GM0360";"2021JJ00";""
"1977";"GM0360";"2022JJ00";""
"1978";"GM0360";"2023JJ00";""
"1979";"GM0360";"2024JJ00";""
"2005";"GM0482";"2020JJ00";"   20165"
"2006";"GM0482";"2021JJ00";"   20136"
"2007";"GM0482";"2022JJ00";"   20087"
"2008";"GM0482";"2023JJ00";"   20356"
"2009";"GM0482";"2024JJ00";"   20314"
"2035";"GM0613";"2020JJ00";"   25590"
"2036";"GM0613";"2021JJ00";"   25814"
"2037";"GM0613";"2022JJ00";"   25934"
"2038";"GM0613";"2023JJ00";"   26357"
"2039";"GM0613";"2024JJ00";"   26428"
"2065";"GM0483";"2020JJ00";""
"2066";"GM0483";"2021JJ00";""
"2067";"GM0483";"2022JJ00";""
"2068";"GM0483";"2023JJ00";""
"2069";"GM0483";"2024JJ00";""
"2095";"GM0361";"2020JJ00";"  109436"
"2096";"GM0361";"2021JJ00";"  109896"
"2097";"GM0361";"2022JJ00";"  110783"
"2098";"GM0361";"2023JJ00";"  111834"
"2099";"GM0361";"2024JJ00";"  112304"
"2125";"GM0141";"2020JJ00";"   73107"
"2126";"GM0141";"2021JJ00";"   73132"
"2127";"GM0141";"2022JJ00";"   73155"
"2128";"GM0141";"2023JJ00";"   73949"
"2129";"GM0141";"2024JJ00";"   74317"
"2155";"GM0034";"2020JJ00";"  211893"
"2156";"GM0034";"2021JJ00";"  214715"
"2157";"GM0034";"2022JJ00";"  217828"
"2158";"GM0034";"2023JJ00";"  222825"
"2159";"GM0034";"2024JJ00";"  226500"
